acct_num2,active_months,total_txns,txns_per_active_month,median_txn_amount,avg_monthly_spend,avg_%_small_txns_monthly,avg_%_large_txns_monthly,monthly_amt_mean,monthly_amt_std,cv_monthly_spend,entertainment_ratio,food_dining_ratio,gas_transport_ratio,grocery_net_ratio,grocery_pos_ratio,health_fitness_ratio,home_ratio,kids_pets_ratio,misc_net_ratio,misc_pos_ratio,personal_care_ratio,shopping_net_ratio,shopping_pos_ratio,travel_ratio,recency_days,gender,city,city_pop,job,dob,province,region,island_group,urbanization,income_class,profession,age,generation,yoy_change_monthly_spend_entertainment,yoy_change_monthly_spend_food_dining,yoy_change_monthly_spend_gas_transport,yoy_change_monthly_spend_grocery_net,yoy_change_monthly_spend_grocery_pos,yoy_change_monthly_spend_health_fitness,yoy_change_monthly_spend_home,yoy_change_monthly_spend_kids_pets,yoy_change_monthly_spend_misc_net,yoy_change_monthly_spend_misc_pos,yoy_change_monthly_spend_personal_care,yoy_change_monthly_spend_shopping_net,yoy_change_monthly_spend_shopping_pos,yoy_change_monthly_spend_travel,yoy_abs_change_monthly_spend_entertainment,yoy_abs_change_monthly_spend_food_dining,yoy_abs_change_monthly_spend_gas_transport,yoy_abs_change_monthly_spend_grocery_net,yoy_abs_change_monthly_spend_grocery_pos,yoy_abs_change_monthly_spend_health_fitness,yoy_abs_change_monthly_spend_home,yoy_abs_change_monthly_spend_kids_pets,yoy_abs_change_monthly_spend_misc_net,yoy_abs_change_monthly_spend_misc_pos,yoy_abs_change_monthly_spend_personal_care,yoy_abs_change_monthly_spend_shopping_net,yoy_abs_change_monthly_spend_shopping_pos,yoy_abs_change_monthly_spend_travel,cluster
3843260959,12,1962,163.5,69.96742609582058,5719.837083333333,0.0998624827430338,0.0926652452359799,5719.837083333333,2882.011557680532,0.5038625253992357,0.0529281718617021,0.1106108502082167,0.1054015241213101,0.0247602301342041,0.1320958148999861,0.0317303158142356,0.0848373721877907,0.1156234006825652,0.0348959772626799,0.0663647359615392,0.0583543740748197,0.0537388518478647,0.0963293861786075,0.0323289947644778,25,M,Cadiz,283157,Scientific laboratory technician,1960-05-24,Negros Occidental,Region VI (Western Visayas),Visayas,0.8636363636363636,Component City,professional_services_and_knowledge,61,Baby Boomer,-0.2465351383331452,0.0165892864109867,-0.0354994072964636,0.4481699156240907,-0.102503637119083,-0.1831168963031404,-0.359070039433236,-0.106743705673991,-0.2497759437446448,2.0667961751429367,-0.1972151977910029,0.877243382721797,0.6407403181676833,-0.8218537345506413,-71.47098484848487,8.858333333333348,-19.098030303030328,67.2379365079365,-69.69333333333338,-30.058333333333337,-189.3241666666666,-67.95500000000004,-46.111818181818194,347.38537878787884,-67.35901515151522,202.6943939393939,238.67416666666665,-594.5327272727274,0
20386303916,1,12,12.0,733.6558333333332,8803.869999999999,0.0,0.8333333333333334,8803.869999999999,,,0.0,0.0,0.0026690210539159,0.0,0.0504199259791494,0.0,0.0,0.0,0.439919065113946,0.0,0.0,0.5069919878529886,0.0,0.0,111,M,Imus,403785,Osteopath,1965-01-13,Cavite,Region IV‑A (CALABARZON),Luzon,0.4845360824742268,Component City,healthcare_and_therapy,57,Gen X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
24058295524,1,11,11.0,566.959090909091,6236.55,0.0,0.7272727272727273,6236.55,,,0.0,0.0,0.0024206273405684,0.0,0.0951910096488003,0.0,0.0,0.0036823071082652,0.1208082455427871,0.0,0.0,0.1380929373221248,0.6398048730374539,0.0,240,M,Malabon,365525,"Psychologist, occupational",1948-05-10,Metro Manila,NCR,Luzon,1.0,Highly Urbanized City,healthcare_and_therapy,73,Baby Boomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
34614744133,12,649,54.083333333333336,69.92164869029276,1890.7979166666669,0.0966387178377381,0.1226142924853563,1890.7979166666669,1166.837114451151,0.6171136027631109,0.0756530231788539,0.1230329677056547,0.1187925504654307,0.0236360035425168,0.1435208817323371,0.022598037918734,0.0878347881367735,0.123273080124452,0.0251127161725999,0.0504753579168143,0.0697507522351267,0.0724299223687612,0.0588757666350472,0.0050141518668974,25,M,Marikina City,450741,Exercise physiologist,1955-08-12,Metro Manila,NCR,Luzon,1.0,Highly Urbanized City,healthcare_and_therapy,66,Baby Boomer,0.0842638270129305,0.0625477035416684,-0.1169779779349076,0.88358886996025,-0.0792267900898447,-0.3703605631316474,0.127856245050386,0.105519318132489,-0.7127813155689319,0.860777378859093,0.2419961489642785,-0.6685194137957667,-0.6081885977974204,0.2552533041530596,12.924666666666669,13.248333333333363,-24.46816666666669,62.24000000000001,-23.279999999999973,-27.97333333333333,21.330606060606044,22.58919191919188,-110.97190476190474,78.0286868686869,25.47845454545454,-292.11875,-180.0840909090909,2.2619696969696967,0
38399733986,12,647,53.91666666666666,78.41449768160741,2113.9241666666667,0.0898091594798283,0.0868895204133332,2113.9241666666667,1394.55651148973,0.6597003494636854,0.0423262075813875,0.0840205509817402,0.1314538250635986,0.0194620421619466,0.1526304095270382,0.0395599695653336,0.0978205614209365,0.1272993124579902,0.0110215509055818,0.0591304100948967,0.0568277892074642,0.0598043259211464,0.0955088117066843,0.0231342334042545,25,M,General Santos,594446,Customer service manager,1945-04-16,South Cotabato,Region XII (SOCCSKSARGEN),Mindanao,0.8846153846153846,Highly Urbanized City,services_governance_and_other,76,Silent,0.354163817062701,-0.3682506895447398,-0.0499652232603312,-0.101160068114091,0.4469729785266618,0.2318065815112199,0.0247268806220026,-0.2427481560425879,-0.4189498106383705,-0.5065834899401391,-0.292189285829712,8.337567897967155,-0.5397553961718823,-0.9656173733790522,22.126545454545457,-60.420363636363646,-11.467818181818188,-9.504999999999995,98.87245454545452,10.824015151515155,4.356999999999971,-62.74090909090916,-30.6975,-84.37299999999999,-40.18080808080806,551.3008333333332,-222.60700000000008,-316.96819444444446,1
40452162789,2,11,5.5,620.7409090909091,3414.075,0.0,0.6458333333333333,3414.075,1565.5980531573232,0.4585716638203095,0.0,0.0,0.0048707017305414,0.0,0.0418461512857709,0.0,0.0,0.0046661725248479,0.0,0.0,0.0,0.9486169744588396,0.0,0.0,578,M,Tuguegarao,153502,Colour technologist,1968-10-28,Cagayan,Region II (Cagayan Valley),Luzon,0.4693877551020408,Component City,engineering_tech_and_built_env,53,Gen X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
99645822249,12,1961,163.41666666666666,72.72698113207547,5942.400416666666,0.1045864634621846,0.0911672320410996,5942.400416666666,2622.903631614132,0.441387898442129,0.0636971926646003,0.1040011790145637,0.1079495401639141,0.0172755168512686,0.1505400123282497,0.0289272892937091,0.0936133845192709,0.0955230542981237,0.0175434836721665,0.0742032912631143,0.0410768107893901,0.0508226144085667,0.1130533920559867,0.0417732386770748,25,M,Dumaguete City,131377,Drilling engineer,1941-05-16,Negros Oriental,Region VII (Central Visayas),Visayas,0.8666666666666667,Component City,engineering_tech_and_built_env,80,Silent,-0.2198961743707687,0.1769597981320709,-0.1965257344948039,0.3359608213910104,-0.1254454313298581,0.3532068066154527,-0.1967237324729318,-0.0115663066486457,2.06291362847953,-0.079793002725741,-0.172109463910222,0.2208862652099166,0.5682024515887725,8.415569377822289,-83.34083333333331,81.58333333333331,-112.9908333333334,39.53124999999999,-96.07583333333343,52.63075757575757,-102.1266666666666,-5.9501515151515605,111.36545454545453,-36.78749999999991,-38.05999999999997,69.5694545454545,278.5091666666667,870.8278181818181,0
124000000000,12,1950,162.5,65.75049743589743,5342.227916666667,0.0989501687038387,0.0992734289603352,5342.227916666667,1766.3272441522836,0.3306349470118452,0.0482324110095724,0.1066503756470914,0.1168595486864311,0.021738310977489,0.1677429336607695,0.0413047961163743,0.1039366939092526,0.1159932047406767,0.0269372528630321,0.0658912110516186,0.0633204309031287,0.0787856425600321,0.035458996764477,0.0071481911100538,24,M,Calapan,133893,Tourist information centre manager,1949-12-05,Oriental Mindoro,MIMAROPA (Region IV‑B),Luzon,0.2903225806451613,Component City,services_governance_and_other,72,Baby Boomer,0.0903743549374618,0.0529695557038647,-0.0066692600949193,0.2705935766596259,0.0566187106211539,-0.2848460981736131,-0.2593014061708499,-0.21470294087806,-0.0398643263271481,0.7551769376834109,-0.0409444033786291,0.677714561618334,0.1234010459565937,1.8759966479109305,20.66500000000002,26.588333333333424,-3.571666666666601,34.26999999999998,46.18916666666655,-66.9075,-150.57999999999998,-135.7858333333333,-6.938545454545448,182.2808333333333,-11.678333333333342,226.91916666666677,20.724999999999994,39.17550000000001,1
138000000000,1,6,6.0,655.4250000000001,3932.55,0.0,0.8333333333333334,3932.55,,,0.0,0.0,0.00217416180341,0.0,0.0728306060952816,0.0,0.0,0.0,0.4072980635974113,0.0,0.0,0.5176971685038969,0.0,0.0,401,M,Marikina City,450741,Youth worker,1954-09-05,Metro Manila,NCR,Luzon,1.0,Highly Urbanized City,education_and_community,67,Baby Boomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
169000000000,1,9,9.0,312.7333333333333,2814.6,0.0,0.6666666666666666,2814.6,,,0.0,0.0,0.0076778227812122,0.0,0.4241206565764229,0.0,0.0,0.0,0.2271228593761103,0.0027534996091807,0.0,0.3383251616570738,0.0,0.0,141,M,Iloilo,447992,Land/geomatics surveyor,1969-04-10,Iloilo,Region VI (Western Visayas),Visayas,0.5388888888888889,Highly Urbanized City,engineering_tech_and_built_env,52,Gen X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
